Track URI,Track Name,Artist URI,Artist Name,Album URI,Album Name,Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,Added By,Added At,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4WX4jVLtfJJooc1j8sWah0,Destroy,spotify:artist:1qPMBDzIv4WJoToZqNxb1f,Flasher,spotify:album:35HX1ykZpgbJ8gvjIAku5o,Flasher,2016-10-20,https://i.scdn.co/image/ab67616d0000b273c1fad4f6059af3fb56982a41,1,7,217112,https://p.scdn.co/mp3-preview/2725ba0d272426fca638f7d8d9646707ee84986b?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,8,,2018-03-20T23:55:09Z,"dc indie,garage psych",0.273,0.904,2,-5.683,1,0.0366,0.00136,0.836,0.229,0.296,143.945,4
spotify:track:5clJP8ZOvFvlYZTsNaJOAa,Make Out,spotify:artist:1qPMBDzIv4WJoToZqNxb1f,Flasher,spotify:album:35HX1ykZpgbJ8gvjIAku5o,Flasher,2016-10-20,https://i.scdn.co/image/ab67616d0000b273c1fad4f6059af3fb56982a41,1,5,240211,https://p.scdn.co/mp3-preview/1424b87577810d70e1f3dbe5dd392c180b9a5461?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,5,,2018-03-20T23:45:45Z,"dc indie,garage psych",0.411,0.725,10,-6.484,0,0.0316,0.00265,0.225,0.0749,0.46,135.857,4
spotify:track:1njRCyiw47fUILf2YVr6oj,Erase Myself,spotify:artist:1qPMBDzIv4WJoToZqNxb1f,Flasher,spotify:album:35HX1ykZpgbJ8gvjIAku5o,Flasher,2016-10-20,https://i.scdn.co/image/ab67616d0000b273c1fad4f6059af3fb56982a41,1,3,214646,https://p.scdn.co/mp3-preview/e80e4972cabc7ab50423385583d5b08690a3cb80?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,6,,2018-03-20T23:30:06Z,"dc indie,garage psych",0.302,0.849,10,-6.854,1,0.0472,0.0117,0.929,0.11,0.226,156.479,4
spotify:track:0UnOwWEMe9JmZB5gk8Ehl5,Skim Milk,spotify:artist:1qPMBDzIv4WJoToZqNxb1f,Flasher,spotify:album:2vS5WAsi5r97sUyadnBtMJ,Skim Milk,2018-03-08,https://i.scdn.co/image/ab67616d0000b273e722492e55b9d61443308a22,1,1,224743,,FALSE,0,,2018-03-20T21:56:47Z,"dc indie,garage psych",0.419,0.754,9,-6.021,1,0.0555,0.0283,0.00761,0.193,0.557,164.399,4
spotify:track:4tmL7U0NO0eqqdhLhOPAvF,Space Cowboy,spotify:artist:70kkdajctXSbqSMJbQO424,Kacey Musgraves,spotify:album:0Cy8ZDbJD1PJbsEWIL2Z6q,Space Cowboy,2018-02-23,https://i.scdn.co/image/ab67616d0000b273c525b2240c0fb74636b3b33f,1,1,216280,https://p.scdn.co/mp3-preview/512619a839cc23fd92d37731bbca3a128a2f34a8?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,33,,2018-03-20T21:26:32Z,"contemporary country,country dawn,pop,texas country",0.454,0.418,1,-7.381,1,0.0283,0.741,0.0153,0.102,0.0832,116.77,4
spotify:track:1n6QxTSueuOIE7k0V444Er,Pain Killer,"spotify:artist:03hlOXqRyyXO3ectp3eEbU, spotify:artist:7pyhre5oEEFMqcgMEvJY7q","Iceage, Sky Ferreira",spotify:album:0aX9nzgB8XJh3C02BFj9GN,Pain Killer,2018-03-01,https://i.scdn.co/image/ab67616d0000b273e7f670611848765b863c4e75,1,1,219327,,FALSE,0,,2018-03-20T21:21:36Z,"chamber psych,danish alternative rock,danish post-punk,garage psych,indie rock,art pop,candy pop,dance pop,electropop,escape room,la indie,metropopolis,neo-synthpop,pop,post-teen pop",0.129,0.916,8,-3.442,1,0.0887,0.000943,0.000109,0.251,0.278,146.031,4
spotify:track:0sR2YKBkdQMz1Jf04ozZlu,Twenty Something,"spotify:artist:4G0XDEk7RbA4BBCTs917U9, spotify:artist:1binm59tmJzoZLvLETVYBP","Sun Kil Moon, Jesu",spotify:album:52TOYJAetThWuGBOZp9ww4,30 Seconds to the Decline of Planet Earth,2017-05-05,https://i.scdn.co/image/ab67616d0000b27397fa612e20a4634b6522e655,1,7,392706,https://p.scdn.co/mp3-preview/a8ad41257fd6edde0d29341487562d377a717ca4?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,7,,2018-03-20T17:07:32Z,"alternative rock,dream pop,freak folk,indie rock,modern folk rock,slowcore,stomp and holler,birmingham metal,british experimental,dark jazz,drone,drone metal,dub metal,nu gaze,post-doom metal,post-metal,shoegaze,uk doom metal,uk post-metal",0.502,0.363,7,-10.575,1,0.183,0.83,0.000614,0.092,0.28,77.519,4
spotify:track:6HJmHggLP5TwUbxx4kNJzo,A Dream of Winter,"spotify:artist:4G0XDEk7RbA4BBCTs917U9, spotify:artist:1binm59tmJzoZLvLETVYBP","Sun Kil Moon, Jesu",spotify:album:52TOYJAetThWuGBOZp9ww4,30 Seconds to the Decline of Planet Earth,2017-05-05,https://i.scdn.co/image/ab67616d0000b27397fa612e20a4634b6522e655,1,9,278600,https://p.scdn.co/mp3-preview/e697b9e90f4a9dbdf941ad5ced1d6cb6f7020406?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,19,,2018-03-20T17:07:30Z,"alternative rock,dream pop,freak folk,indie rock,modern folk rock,slowcore,stomp and holler,birmingham metal,british experimental,dark jazz,drone,drone metal,dub metal,nu gaze,post-doom metal,post-metal,shoegaze,uk doom metal,uk post-metal",0.472,0.293,11,-12.854,1,0.038,0.917,0.0827,0.108,0.383,72.597,4
spotify:track:3i7YIYDHxkJrac2JkdTG2G,Hello Chicago,"spotify:artist:4G0XDEk7RbA4BBCTs917U9, spotify:artist:1binm59tmJzoZLvLETVYBP","Sun Kil Moon, Jesu",spotify:album:52TOYJAetThWuGBOZp9ww4,30 Seconds to the Decline of Planet Earth,2017-05-05,https://i.scdn.co/image/ab67616d0000b27397fa612e20a4634b6522e655,1,8,487586,https://p.scdn.co/mp3-preview/38f13970fdddc90ac692f4d519355e540bc2357e?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,7,,2018-03-20T17:07:29Z,"alternative rock,dream pop,freak folk,indie rock,modern folk rock,slowcore,stomp and holler,birmingham metal,british experimental,dark jazz,drone,drone metal,dub metal,nu gaze,post-doom metal,post-metal,shoegaze,uk doom metal,uk post-metal",0.356,0.508,11,-11.312,1,0.309,0.519,0.000189,0.143,0.364,81.467,4
spotify:track:6JAtFCky3OR7mz3KTfltVP,Blue Bucket of Gold - Live,spotify:artist:4MXUO7sVCaFgFjoTI5ox5c,Sufjan Stevens,spotify:album:4QYo7aIi85tEuEOe0Y2ew0,Carrie & Lowell Live,2017-04-28,https://i.scdn.co/image/ab67616d0000b273c1becd46ddb8e7ba4b2a678e,1,14,335418,https://p.scdn.co/mp3-preview/5009c906579593217710f8db611ab55834e52c27?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,23,,2018-03-19T22:07:18Z,"baroque pop,chamber pop,freak folk,indie folk,singer-songwriter",0.423,0.436,11,-9.311,0,0.0321,0.545,0.647,0.379,0.0983,74.991,4
spotify:track:2Ye8WSJGzw7LqcUxCzphli,Futile Devices - Live,spotify:artist:4MXUO7sVCaFgFjoTI5ox5c,Sufjan Stevens,spotify:album:4QYo7aIi85tEuEOe0Y2ew0,Carrie & Lowell Live,2017-04-28,https://i.scdn.co/image/ab67616d0000b273c1becd46ddb8e7ba4b2a678e,1,13,216087,https://p.scdn.co/mp3-preview/a07671ec77e8ff21a5a30dc1f1c23319da6e7731?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,30,,2018-03-19T18:31:44Z,"baroque pop,chamber pop,freak folk,indie folk,singer-songwriter",0.501,0.174,8,-22.601,1,0.034,0.861,0.00239,0.689,0.103,134.117,4
spotify:track:3ZQw4KNiXWjtrWpmDY1mVs,Living in Pretend (My Girl Imagination),spotify:artist:5M0HAqHXyOh3q7WQnvce8o,Part Time,spotify:album:0hB7OoAfzXGPvW1OkYSSlg,What Would You Say?,2011,https://i.scdn.co/image/ab67616d0000b2737528aae37bf2c158a1de6f1a,1,3,240240,,FALSE,0,,2018-03-19T16:50:54Z,"chillwave,experimental pop,indie garage rock",0.54,0.864,5,-7.847,0,0.0292,0.00182,0.789,0.214,0.708,84.902,4
spotify:track:1ehBivYZbI2lzpb5Z8dBPS,Sleepover,spotify:artist:3LjhVl7GzYsza1biQjTpaN,Hayley Kiyoko,spotify:album:5EyqYd7FGISKgeL9VRE8QX,Sleepover,2017-03-03,https://i.scdn.co/image/ab67616d0000b2733e656695081baac3a6727103,1,1,234460,https://p.scdn.co/mp3-preview/724f52f64856040ef8fbb86d7d36670e09d98f95?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,37,,2018-03-19T02:09:36Z,"dance pop,electropop,indie poptimism,pop,pop dance,post-teen pop",0.539,0.809,3,-6.927,0,0.0629,0.139,0.0000184,0.122,0.587,153.054,4
spotify:track:15KUiWZCdAq458QQR9eygf,SuperLove,spotify:artist:25uiPmTg16RbhZWAqwLBy5,Charli XCX,spotify:album:5fVKH7ReWO441v5LIFJ2fU,SuperLove,2013-12-06,https://i.scdn.co/image/ab67616d0000b27371ff062e8ee238cd50289aae,1,1,193163,https://p.scdn.co/mp3-preview/fb9131d5e0adf4d9b3afb833f57cd2d140875c70?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,40,,2018-03-19T02:07:03Z,"art pop,candy pop,dance pop,electropop,escape room,hyperpop,metropopolis,pop,pop dance,post-teen pop,uk pop",0.785,0.895,7,-4.03,0,0.0276,0.0783,0.00425,0.236,0.967,119.999,4
spotify:track:6flhrkPIIqB0zU8j2T2yyc,shedontknowbutsheknows,spotify:artist:4NHQUGzhtTLFvgF5SZesLK,Tove Lo,spotify:album:6jggnLM3SdDnjQ3GWmIZ4L,BLUE LIPS (lady wood phase II),2017-11-17,https://i.scdn.co/image/ab67616d0000b2735a032c46b63b202e76ebaffe,1,3,196835,https://p.scdn.co/mp3-preview/7649e2f57e1891c1503d55449ac0bf1b638111b1?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,53,,2018-03-19T02:04:35Z,"dance pop,electropop,metropopolis,pop,pop dance,pop rap,post-teen pop,swedish electropop,swedish pop,swedish synthpop,tropical house",0.691,0.762,8,-6.084,0,0.226,0.278,0,0.25,0.42,112.951,4
spotify:track:1GzO0qIRFLjBT3TYt5prEx,Sand,spotify:artist:67S18PLepUFPvHhMgCJPZk,Tara Jane O'Neil,spotify:album:6lYuMG39PVxrjDYW3q48lS,Tara Jane O'neil,2017-04-21,https://i.scdn.co/image/ab67616d0000b273ecc7ae0752aa994f3b7c4723,1,3,194186,https://p.scdn.co/mp3-preview/5cedf932c8be3b1486ef829092228545d8d86066?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,6,,2018-03-17T01:33:17Z,,0.554,0.212,1,-14.08,0,0.0294,0.842,0.0946,0.0815,0.126,116.898,4
